nombre,apellido,edad,genero,pais_origen,estado_civil,num_integrantes_familia,dependientes_menores,profesion,sector_industrial,categoria_profesional,nivel_educativo,tipo_contrato,anos_experiencia,meses_empresa_actual,ingresos_anuales,dinero_banco,deudas_totales,invertido_bolsa,invertido_cripto,invertido_propiedades,patrimonio_neto,score_crediticio,gastos_mensuales,renta_pasiva,ratio_deuda_ingreso,interes_compra_dubai,motivo_compra,presupuesto_max,zona_preferida
Antonio,Martín,31,Hombre,Chile,Soltero,1,0,Piloto,Construcción,Senior,PhD,Permanente,9,136,125359,54467,27407,24288,18840,0,70188,744,2350,0,21.86,Medio,Vacacional,985318,Zona Residencial-Accesible
Mónica,Suárez,56,Mujer,México,Soltero,5,0,Gerente de Proyecto,Educación,Director,Bachillerato,Temporal,35,132,118936,177460,58237,118477,0,0,237700,600,3866,14305,48.96,Medio,Residencia,1409989,Zona Sur-Inversión
Laura,Jiménez,56,Mujer,México,Divorciado,1,3,Chef Ejecutivo,Finanzas,Director,Licenciatura,Permanente,34,142,91737,124574,119467,208939,3085,538781,755912,551,1847,0,130.23,Alto,Residencia,4515272,Zona Costa-Premium
Silvia,Rubio,31,Mujer,España,Divorciado,3,2,Contador,Educación,Mid-Level,Licenciatura,Permanente,8,19,47855,11317,21402,8160,0,0,-1925,710,1179,0,44.72,Bajo,Inversión,338495,Zona Tech-Educación
Alberto,Navarro,31,Hombre,España,Casado,2,3,Director Comercial,Automotriz,Mid-Level,Bachillerato,Permanente,8,27,33442,12044,17529,6174,0,0,689,593,869,0,52.42,Bajo,Inversión,190458,Zona Tech-Educación
Ricardo,Hernández,33,Hombre,Colombia,Casado,4,1,Piloto,Retail,Mid-Level,Licenciatura,Permanente,11,145,50289,37332,18009,5937,27226,203917,256403,630,1559,0,35.81,Bajo,Inversión,1174445,Zona Sur-Inversión
Alberto,Ramos,33,Hombre,España,Casado,4,0,Contador,Automotriz,Director,Master,Permanente,12,155,175254,93536,75016,109188,0,0,127708,810,4928,0,42.8,Bajo,Vacacional,1705332,Zona Costa-Premium
Sofía,Navarro,31,Mujer,España,Casado,1,0,Ingeniero Civil,Aeroespacial,Mid-Level,Bachillerato,Temporal,9,42,55421,17653,34584,0,0,93239,76308,666,1377,7301,62.4,Medio,Mixto,381113,Zona Tech-Educación
Patricia,García,31,Mujer,Chile,Casado,2,1,Gerente de Proyecto,Construcción,Mid-Level,Bachillerato,Permanente,8,144,37283,18879,38245,9589,5908,0,-3869,609,1060,6130,102.58,Medio,Vacacional,233047,Zona Tech-Educación
Teresa,López,31,Mujer,España,Casado,1,1,Desarrollador,Inmobiliario,Senior,Master,Permanente,9,88,105245,57103,38266,34368,11286,0,64491,618,2996,17849,36.36,Bajo,Mixto,610718,Zona Sur-Inversión
Ricardo,Torres,61,Hombre,Perú,Casado,2,1,Abogado,Retail,Director,Licenciatura,Permanente,39,77,159436,170427,59758,111653,0,1418797,1641119,768,4377,0,37.48,Medio,Inversión,5000000,Zona Costa-Premium
Andrea,Sánchez,56,Mujer,España,Soltero,3,0,Arquitecto,Aeroespacial,Director,Licenciatura,Permanente,34,50,158424,232376,73736,365067,0,0,523707,711,4988,0,46.54,Alto,Residencia,2235508,Zona Costa-Premium
Isabel,Hernández,33,Mujer,Perú,Soltero,1,0,Abogado,Telecomunicaciones,Mid-Level,Bachillerato,Temporal,10,134,55277,42776,36329,14398,0,0,20845,583,1067,0,65.72,Medio,Inversión,523375,Zona Sur-Inversión
Rafael,Domínguez,61,Hombre,México,Divorciado,4,0,Ingeniero Software,Construcción,Director,Licenciatura,Permanente,38,98,109854,183670,38547,145400,0,886785,1177308,629,2399,0,35.09,Alto,Mixto,5000000,Zona Centro-Negocios
Jorge,Navarro,33,Hombre,España,Soltero,1,0,Chef Ejecutivo,Automotriz,Senior,Licenciatura,Temporal,12,125,109202,127647,65209,13960,0,258610,335008,570,2372,0,59.71,Bajo,Residencia,1298765,Zona Centro-Negocios
Antonio,Martínez,56,Hombre,Argentina,Soltero,1,0,Farmacéutico,Aeroespacial,Director,Master,Permanente,34,142,164707,177028,89491,159031,0,794018,1040586,658,5395,12080,54.33,Alto,Vacacional,4829470,Zona Centro-Negocios
Sergio,Gutiérrez,31,Hombre,USA (Miami),Casado,1,2,Contador,Consultoría,Mid-Level,Licenciatura,Permanente,10,76,61438,14617,14593,32855,7399,0,40278,703,1338,6859,23.75,Medio,Inversión,413524,Zona Sur-Inversión
Cristina,Ruiz,33,Mujer,España,Soltero,2,0,Farmacéutico,Energía,Senior,Master,Permanente,11,165,119127,140095,68171,83627,0,323777,479328,615,2327,0,57.23,Alto,Inversión,2084012,Zona Centro-Negocios
Alberto,Gómez,31,Hombre,Argentina,Soltero,2,0,Arquitecto,Alimentación,Senior,PhD,Permanente,9,76,96289,46128,13515,33184,3842,0,69639,636,2262,0,14.04,Medio,Residencia,489166,Zona Sur-Inversión
José,Serrano,33,Hombre,Ecuador,Soltero,1,0,Gerente de Proyecto,Turismo,Senior,Master,Freelance,11,150,92316,42167,25898,135294,0,0,151563,630,2276,0,28.05,Alto,Residencia,808547,Zona Residencial-Accesible
Marta,Jiménez,31,Mujer,España,Casado,6,3,Empresario,Finanzas,Senior,PhD,Permanente,8,150,102140,51671,32462,8359,0,0,27568,677,3217,5614,31.78,Medio,Vacacional,674938,Zona Residencial-Accesible
Jorge,Castro,31,Hombre,Chile,Soltero,6,0,Product Manager,Consultoría,Mid-Level,Bachillerato,Permanente,10,174,35987,7846,24247,28651,4757,0,17007,550,1038,0,67.38,Bajo,Residencia,248940,Zona Tech-Educación
Miguel,Jiménez,31,Hombre,España,Casado,2,0,Farmacéutico,Telecomunicaciones,Senior,PhD,Permanente,9,125,92771,45158,43556,16654,0,0,18256,767,2392,0,46.95,Medio,Mixto,586122,Zona Sur-Inversión
Alberto,Vázquez,33,Hombre,España,Soltero,3,0,Director Comercial,Inmobiliario,Mid-Level,Licenciatura,Permanente,11,60,61726,60667,26711,22279,0,0,56235,649,1548,13773,43.27,Medio,Residencia,526289,Zona Sur-Inversión
Alejandro,Moreno,56,Hombre,España,Soltero,5,0,Diseñador,Turismo,Director,Licenciatura,Permanente,33,7,94063,171087,178815,146119,0,356203,494594,648,1648,0,190.1,Medio,Residencia,2238394,Zona Costa-Premium
Cristina,Muñoz,33,Mujer,España,Divorciado,4,0,Farmacéutico,Tecnología,Mid-Level,Licenciatura,Temporal,10,116,53753,20096,12387,31469,15152,0,54330,702,1009,0,23.04,Medio,Mixto,554510,Zona Tech-Educación
